source_id,spec_class,evolution_stage,teff_gspphot,logg_gspphot,radius_gspphot,router_label
4153377965314730880,M,dwarf,3852.3398,4.43,0.528,M_dwarf
6028738253581169408,M,dwarf,3986.0044,4.8369,0.4235,M_dwarf
696217703375539200,M,dwarf,3931.5405,4.8116,0.4461,M_dwarf
6736105180964052992,M,dwarf,3383.3352,4.6155,0.2766,M_dwarf
4262628047710788096,M,dwarf,3996.6052,4.4611,0.3822,M_dwarf
2002203080678798720,M,dwarf,3844.8816,4.875,0.3898,M_dwarf
1481600615738400640,M,dwarf,3985.7834,4.7394,0.5166,M_dwarf
6413152704331491072,M,dwarf,3299.4653,4.5189,0.3405,M_dwarf
2762575333324399104,M,dwarf,3336.183,4.9298,0.3289,M_dwarf
4305679498499712640,M,dwarf,3714.1506,4.6265,0.571,M_dwarf
939838693765563392,M,dwarf,3620.112,4.3014,0.355,M_dwarf
6801346936765589248,M,dwarf,3641.6753,4.2779,0.9479,M_dwarf
5909430968398062848,M,dwarf,3636.3096,4.8251,0.4002,M_dwarf
5978081420785470976,M,dwarf,3781.218,4.8166,0.2109,M_dwarf
6032351214424816896,M,dwarf,3560.0413,4.8647,0.3864,M_dwarf
839277051051013248,M,dwarf,3344.6719,4.7535,0.3565,M_dwarf
2027952719596548864,M,dwarf,3872.3496,4.8972,0.3666,M_dwarf
4064067487698804352,M,dwarf,3815.9448,4.4368,0.5214,M_dwarf
424150251234455808,M,dwarf,3290.255,4.8813,0.3721,M_dwarf
153296488126147584,M,dwarf,3924.9202,4.279,0.5439,M_dwarf
3394147383688962176,M,dwarf,3827.3875,4.795,0.3462,M_dwarf
5834373052007942016,M,dwarf,3878.6387,4.3324,0.4878,M_dwarf
5895039185831735168,M,dwarf,3866.4675,4.8105,0.4406,M_dwarf
2074511706970361728,M,dwarf,3842.6365,4.9211,0.3431,M_dwarf
4146020441516256000,M,dwarf,3965.3052,4.1835,0.8931,M_dwarf
4238465906014421504,M,dwarf,3966.4067,4.4354,0.3682,M_dwarf
6761044750365550720,M,dwarf,3901.3926,4.4813,0.3961,M_dwarf
5902304866069205120,M,dwarf,3884.3025,4.7686,0.3876,M_dwarf
4059457987037106816,M,dwarf,3778.8003,4.8979,0.3664,M_dwarf
4253728261315392512,M,dwarf,3921.825,4.9277,0.3473,M_dwarf
6472918548645190528,M,dwarf,3258.0237,4.9195,0.1971,M_dwarf
6018325844101530240,M,dwarf,3909.0935,4.8081,0.4342,M_dwarf
4155280841983361792,M,dwarf,3681.6292,4.4186,0.4686,M_dwarf
